!	PUNC	PUNC	!	208
"	PUNC	PUNC	"	518
&	CONJ	CONJ	&	5232
&	CONJ	CONJ	&e	3
&	WQ	WQ	&	1
&	P	P	&	5
?	PUNC	PUNC	?	598
N	_	_	N	1
PUNC	_	_	PUNC	205595
a	D	D	a	21342
a	NPR	NPR	a	97
a	P	P	a	264
a	HV	HV	a	166
a	HV	HV	ave	1
a	HV	HV	affe	1
a	HV	HV	af	1
a	INTJ	INTJ	a	4
a	PRO	PRO	a	27
a	Q	Q	a	3
a	ONE	ONE	a	2
a	CONJ	CONJ	a	1
a	TO	TO	a	7
a	HVP	HVP	a	3
a	HVP	HVP	affe	1
abaft	P	P	abaft	2
abaft	P	P	abafte	1
abakward	ADV	ADV	abakward	1
abalid	VBN	VBN	abalid	1
abandon	VB	VB	abandon	6
abandon	VB	VBP	abandon	1
abandon	VB	VBD	abandoned	1
abandon	VB	VAN	abandoned	1
abandoning	VAG	VAG	abandoning	5
abany	NPR	NPR	abany	1
abarrowe	NPR	NPR	abarrowe	2
abashed	VBN	VBN	abashed	1
abashed	VBN	VBD	abashed	1
abasshed	ADJ	ADJ	abasshed	2
abasshed	ADJ	ADJ	abashed	1
abasshfull	ADJ	ADJ	abasshfull	1
abate	VB	VB	abate	24
abate	VB	VB	abat	1
abate	VB	VAN	abated	16
abate	VB	VAN	abbatyd	1
abate	VB	VBN	abated	3
abate	VB	VBP	abates	2
abate	VB	VBP	abate	2
abate	VB	VBD	abated	2
abate	VB	VBI	abbate	1
abating	N	N	abating	2
abating	N	N	abateing	1
abating	VAG	VAG	abating	3
abay	VB	VB	abay	2
abay	VB	VB	abey	1
abba	NPR	NPR	abba	1
abbacye	N	N	abbacye	1
abbat	N	N	abbat	1
abberation	N	N	abberation	1
abbesente	VB	VB	abbesente	1
abbesse	N	N	abbesse	4
abbeville	NPR	NPR	abbeville	2
abbeville	NPR	NPR	abevyle	1
abbey	NPR	NPR	abbey	15
abbey	NPR	NPR	abbeye	1
abbey	NPR	NPR	abbay	1
abbey	N	N	abbey	13
abbey	N	N	abbaye	3
abbey	N	N	abbay	2
abbey	N	N	abbeye	1
abbey	N	N	abbe	1
abbey	N	NS	abbais	1
abbord	N	N	abbord	1
abbot	N	N	abbot	55
abbot	N	N	abot	4
abbot	N	N	abbote	1
abbot	N	NS	abbots	1
abbot	NPR	NPR	abbot	7
abbot	NPR	NPR	abot	1
abbreuiat	N	N	abbreuiat	2
abbreviate	VB	VB	abbreviate	1
abby	NPR	NPR	abby	4
abby	NPR	NPR	abbie	1
abbye	N	NS	abbyes	3
abbye	N	N	abbye	2
abbye	N	N	abby	2
abbys	NPR	NPR	abbys	1
abbyte	N	N	abbyte	1
abc	N	N	abc	2
abdurat	ADJ	ADJ	abdurat	1
abdy	NPR	NPR	abdy	1
abedyensses	NS	NS	abedyensses	1
abeels	NPR	NPR	abeels	1
abelitis	NS	NS	abelitis	1
abell	ADJ	ADJ	abell	11
abell	ADJ	ADJ	abel	7
abell	NPR	NPR	abell	2
abell	NPR	NPR	abeel	1
abendon	NPR	NPR	abendon	2
abendon	NPR	NPR	abyndon	1
aberdene	NPR	NPR	aberdene	2
abere	VB	VB	abere	1
abergeny	NPR	NPR	abergeny	1
abergeny	NPR	NPR	abergenny	1
abergevennie	NPR	NPR	abergevennie	1
abergeyney	NPR	NPR	abergeyney	1
abergeyney	NPR	NPR	abergayne	1
aberlady	NPR	NPR	aberlady	1
aberyng	N	N	aberyng	1
aberyng	N	N	abering	1
aberyng	N	N	abearinge	1
abesaunce	N	N	abesaunce	1
abhominable	ADJ	ADJ	abhominable	5
abhominable	ADJ	ADJ	abhomynable	2
abhomination	N	N	abhomination	1
abhorre	VB	VBD	abhorred	2
abhorre	VB	VBP	abhorre	1
abhorre	VB	VBP	abhorr	1
abhorre	VB	VBP	abhor	1
abhorre	VB	VB	abhorre	1
abhorre	VB	VB	abhor	1
abhorre	VB	VAN	abhorred	1
abhorred	ADJ	ADJ	abhorred	1
abhoryth	VBP	VBP	abhoryth	1
abhoryth	VBP	VBP	abhorrythe	1
abhowte	RP	RP	abhowte	1
abiding	N	N	abiding	4
abiding	N	N	abydyng	3
abiding	N	N	abydynge	1
abiding	N	N	abydinge	1
abiding	ADJ	ADJ	abiding	1
abiect	ADJ	ADJ	abiect	2
abiect	ADJ	ADJ	abject	1
abiected	VBN	VBN	abiected	1
abiectes	NS	NS	abiectes	1
abilite	N	N	abilite	2
abilitie	N	N	abilitie	11
abilitie	N	N	abyllitie	1
abilitie	N	N	abylitie	1
abilitie	N	NS	abilities	5
ability	N	N	ability	34
ability	N	N	affability	2
ability	N	N	abyllytye	2
ability	N	N	abillity	2
ability	N	N	abilitye	2
ability	N	N	abylytye	1
ability	N	N	abilytye	1
ability	N	N	abilyty	1
ability	N	N	abillytye	1
ability	N	NS	abilityes	3
ability	N	NS	abyllytyes	1
ability	N	NS	abillitys	1
ability	N	NS	abilitys	1
abilltise	NS	NS	abilltise	1
abilymentes	NS	NS	abilymentes	1
abington	NPR	NPRS	abyngtons	1
abington	NPR	NPR	abington	1
abington	NPR	NPR	abbington	1
abissinia	NPR	NPR	abissinia	1
abjectly	ADV	ADV	abjectly	3
abjectly	ADV	ADV	abiectly	1
abjuracon	N	N	abjuracon	1
abjure	VB	VB	abjure	2
able	ADJ	ADJ	able	670
able	ADJ	ADJ	affable	1
able	ADJ	ADJS	ablest	9
able	ADJ	ADJR	abler	5
ableding	VAG	VAG	ableding	1
ableiage	VB	VB	ableiage	1
ablenes	N	N	ablenes	1
abligacion	N	N	abligacion	1
aboard	P	P	aboard	7
aboard	P	P	abord	1
abode	N	N	abode	33
abode	N	N	aboade	6
abode	N	N	aboode	2
abode	N	N	aboad	2
abode	N	N	abod	1
abode	P	P	abode	1
abode	P	P	aboad	1
abode	ADV	ADV	abode	1
abode	VBP	VBP	abode	1
abohut	P	P	abohut	1
abohut	RP	RP	abohut	1
abolish	VB	VB	abolish	3
abolish	VB	VB	abolishe	2
abolish	VB	VAN	abolyshed	1
abolishing	VAG	VAG	abolishing	2
abolition	N	N	abolition	1
abominabel	ADJ	ADJ	abominabel	1
abominable	ADJ	ADJ	abominable	3
abominably	ADV	ADV	abominably	1
abondante	ADJ	ADJ	abondante	1
abondantlye	ADV	ADV	abondantlye	1
aborrow	NPR	NPR	aborrow	1
abortive	ADJ	ADJ	abortive	1
abouhe	P	P	abouhe	1
abound	VB	VB	abound	8
abound	VB	VB	abounde	2
abound	VB	VBP	abounds	6
abound	VB	VBP	abound	4
abound	VB	VBP	abowndeth	1
abound	VB	VBP	aboundes	1
abound	VB	VBN	abounded	1
abound	VB	VBD	abounded	1
aboundinge	VAG	VAG	aboundinge	1
about	P	P	about	827
about	P	P	aboute	146
about	P	P	abowt	80
about	P	P	abowte	43
about	P	P	abought	29
about	P	P	abowght	10
about	P	P	abut	6
about	P	P	abote	2
about	P	P	abovt	1
about	P	P	aboughte	1
about	P	P	abot	1
about	P	P	aboght	1
about	ADV	ADV	about	255
about	ADV	ADV	aboute	30
about	ADV	ADV	abowt	15
about	ADV	ADV	abowte	10
about	ADV	ADV	abowght	5
about	ADV	ADV	abought	5
about	ADV	ADV	abut	1
about	ADV	ADV	abowghte	1
about	RP	RP	about	69
about	RP	RP	aboute	23
about	RP	RP	abowt	11
about	RP	RP	abowte	6
about	RP	RP	abought	3
about	RP	RP	abowght	2
about	RP	RP	abut	1
about	RP	RP	aboughte	1
aboutes	VBP	VBP	aboutes	1
aboutes	P	P	aboutes	8
aboutes	P	P	abowtes	2
abouts	P	P	abouts	5
abouts	ADV	ADV	abouts	7
above	P	P	above	353
above	P	P	aboue	73
above	P	P	abowe	11
above	P	P	abufe	1
above	P	P	abow	1
above	P	P	abovf	1
above	ADV	ADV	above	79
above	ADV	ADV	aboue	18
above	ADV	ADV	abowe	1
above	ADV	ADV	abovf	1
abovemencioned	ADJ	ADJ	abovemencioned	1
abovemenconed	ADJ	ADJ	abovemenconed	1
abovenamed	ADJ	ADJ	abovenamed	1
abovensaid	ADJ	ADJ	abovensaid	1
aboveseid	ADJ	ADJ	aboveseid	12
aboveseid	ADJ	ADJ	abouesaid	11
aboveseid	ADJ	ADJ	aboveseide	9
aboveseid	ADJ	ADJ	abovesaid	5
aboveseid	ADJ	ADJ	abovesayd	2
aboveseid	ADJ	ADJ	abouesaide	2
aboveseid	ADJ	ADJ	aboveseyde	1
aboveseid	ADJ	ADJ	abovesayde	1
aboveseid	ADJ	ADJ	abovesaide	1
aboveseid	ADJ	ADJ	abouuesaide	1
aboveseid	ADJ	ADJ	abouesayd	1
aboveseid	ADJ	ADJ	abofeseyd	1
abovyn	ADV	ADV	abovyn	2
abovyn	ADV	ADV	abowyn	1
abowt	ADJ	ADJ	abowt	3
abowt	ADJ	ADJ	abowte	1
abowt	ADJ	ADJ	about	1
abowthe	RP	RP	abowthe	3
abowthe	RP	RP	abowth	1
abowthe	P	P	abowthe	2
abowthe	P	P	abowth	1
abowthe	ADV	ADV	abowthe	1
abowthe	ADV	ADV	abowth	1
abowtward	ADV	ADV	abowtward	1
abowtward	ADV	ADV	aboutward	1
abowtyn	P	P	abowtyn	1
abradate	NPR	NPR	abradate	1
abrahall	NPR	NPR	abrahall	5
abraham	NPR	NPR	abraham	12
abrall	NPR	NPR	abrall	2
abrewing	VAG	VAG	abrewing	1
abridge	VB	VAN	abridged	4
abridge	VB	VAN	abbridged	2
abridge	VB	VB	abridge	2
abridge	VB	VB	abbridge	1
abridging	VAG	VAG	abridging	1
abridgment	N	N	abridgment	2
abriged	VAN	VAN	abriged	1
abrigement	N	N	abrigement	1
abrode	ADV	ADV	abrode	87
abrode	ADV	ADV	abroad	76
abrode	ADV	ADV	abroade	39
abrode	ADV	ADV	abroode	6
abrode	ADV	ADV	abrood	4
abrode	ADV	ADV	abrowde	1
abrode	ADV	ADV	abrodde	1
abrode	ADV	ADV	abrod	1
abrubtly	ADV	ADV	abrubtly	1
abrubtly	ADV	ADV	abrobtly	1
abrupt	ADJ	ADJ	abrupt	4
abruptly	ADV	ADV	abruptly	10
abruptly	ADV	ADV	abruptely	1
abruptnes	N	N	abruptnes	4
abruptnes	N	N	abruptness	1
absalome	NPR	NPR	absalome	1
absance	N	N	absance	1
abscond	VB	VBP	absconds	1
abscond	VB	VB	abscond	1
absence	N	N	absence	202
absence	N	N	absens	21
absence	N	N	absenc	3
absence	N	N	absense	1
absence	N	N	abscence	1
absence	N	N	abcence	1
absent	ADJ	ADJ	absent	95
absent	ADJ	ADJ	absente	2
absent	ADJ	ADJ	abcent	2
absent	VB	VB	absent	4
absent	VB	VB	absente	1
absent	VB	VBP	absent	2
absent	VB	VBP	absents	1
absent	VB	VBD	absented	2
absent	VB	VBN	absented	1
absenting	VAG	VAG	absenting	2
absenting	VAG	VAG	absentinge	1
absentyng	N	N	absentyng	2
absolute	ADJ	ADJ	absolute	40
absolute	ADJ	ADJ	absolut	1
absolute	ADV	ADV	absolute	2
absolutely	ADV	ADV	absolutely	36
absolutely	ADV	ADV	absolutly	18
absolutely	ADV	ADV	absolutelye	2
absolutely	ADV	ADV	absolutelie	2
absolution	N	N	absolution	2
absolution	N	N	absolucyon	1
absolution	N	N	absolucion	1
absolve	VB	VAN	absolved	2
absolve	VB	VB	absolve	1
absolved	ADJ	ADJ	absolved	1
absolvyng	N	N	absolvyng	1
absolysyon	N	N	absolysyon	1
absteyne	VB	VB	absteyne	4
absteyne	VB	VB	absteine	3
absteyne	VB	VB	abstaine	3
absteyne	VB	VB	abstain	2
absteyne	VB	VB	abstein	1
absteyne	VB	VB	abstayn	1
absteyne	VB	VBD	abstained	1
abstynance	N	N	abstynance	3
abstynce	N	N	abstynce	1
abstynence	N	N	abstynence	3
abstynence	N	N	abstinence	3
abstynence	N	N	abstinens	2
absurd	ADJ	ADJ	absurd	9
absurd	ADJ	ADJ	absurde	1
absurd	ADJ	ADJS	absurdest	1
absurditie	N	N	absurditie	2
absurditie	N	N	absurdytie	1
absurdly	ADV	ADV	absurdly	3
abt	P	P	abt	15
abt	RP	RP	abt	1
abt	ADV	ADV	abt	2
abthorpe	NPR	NPR	abthorpe	1
abues	VB	VB	abues	1
abull	ADJ	ADJ	abull	3
abull	ADJ	ADJ	abbull	1
abundance	N	N	abundance	19
abundance	N	N	aboundance	8
abundance	N	N	abundanc	2
abundance	N	N	abundaunce	1
abundance	N	N	aboundaunce	1
abundance	N	N	abbundance	1
abundant	ADJ	ADJ	abundant	6
abundant	ADJ	ADJ	aboundant	3
abundant	ADJ	ADJ	abundaunt	2
abundantly	ADV	ADV	abundantly	13
abundantly	ADV	ADV	aboundantly	4
abundantly	ADV	ADV	abundantlye	1
abuse	VBP	VBP	abuse	9
abuse	VBP	VBD	abode	9
abuse	VBP	VBD	aboode	1
abuse	VBP	VBD	abod	1
abuse	N	N	abuse	18
abuse	N	NS	abuses	12
abuse	VB	VAN	abused	23
abuse	VB	VAN	abusid	3
abuse	VB	VAN	abusd	3
abuse	VB	VB	abuse	21
abuse	VB	VBN	abused	9
abuse	VB	VBN	abusid	1
abuse	VB	VBD	abused	8
abuse	VB	VBD	abusid	2
abuse	VB	VBD	abbused	1
abuse	VB	VBP	abuseth	2
abuse	VB	VBP	abuses	1
abused	ADJ	ADJ	abused	2
abused	ADJ	ADJ	abovseid	1
abused	ADJ	ADJ	abousayd	1
abushement	N	N	abushement	1
abusing	VAG	VAG	abusing	2
abusing	VAG	VAG	abusyng	1
abusing	VAG	VAG	abuseing	1
abusing	N	N	abusing	1
abusions	NS	NS	abusions	2
abusive	ADJ	ADJ	abusive	1
abvile	NPR	NPR	abvile	1
abyde	VB	VB	abyde	68
abyde	VB	VB	abide	62
abyde	VB	VB	abyd	15
abyde	VB	VB	abid	1
abyde	VB	VBP	abide	7
abyde	VB	VBP	abyde	6
abyde	VB	VBP	abideth	4
